Date,open,high,low,close,volume,Ticker
10/03/2023 5:30,826.0,836.75,824.25,831.4,2453090,ADANIPORTS
10/04/2023 5:30,830.95,845.45,819.35,824.6,4096647,ADANIPORTS
10/05/2023 5:30,830.85,832.0,820.25,825.2,2083505,ADANIPORTS
10/06/2023 5:30,830.0,836.5,826.4,830.75,1877058,ADANIPORTS
10/09/2023 5:30,815.0,818.8,785.0,790.05,5994282,ADANIPORTS
10/10/2023 5:30,800.55,823.7,800.55,819.5,7591327,ADANIPORTS
10/11/2023 5:30,827.4,827.4,812.35,814.85,3281387,ADANIPORTS
10/12/2023 5:30,818.55,823.25,812.55,814.95,2563606,ADANIPORTS
10/13/2023 5:30,812.0,824.8,805.85,813.75,3801000,ADANIPORTS
10/16/2023 5:30,818.5,818.5,803.25,805.65,2664794,ADANIPORTS
10/17/2023 5:30,812.0,814.4,804.0,805.1,2162192,ADANIPORTS
10/18/2023 5:30,808.95,809.05,795.4,798.6,2271927,ADANIPORTS
10/19/2023 5:30,796.75,797.3,787.45,792.85,2862500,ADANIPORTS
10/20/2023 5:30,791.8,803.0,788.65,793.65,2434862,ADANIPORTS
10/23/2023 5:30,793.65,795.8,769.9,771.45,2002377,ADANIPORTS
10/25/2023 5:30,772.5,783.35,761.05,769.1,2581498,ADANIPORTS
10/26/2023 5:30,764.0,771.8,754.5,770.35,3855358,ADANIPORTS
10/27/2023 5:30,774.9,786.4,773.05,782.4,2995404,ADANIPORTS
10/30/2023 5:30,785.9,794.4,779.8,785.0,3522068,ADANIPORTS
10/31/2023 5:30,789.8,791.1,782.5,784.75,2825760,ADANIPORTS
11/01/2023 5:30,784.75,790.5,767.2,769.1,2693768,ADANIPORTS
11/02/2023 5:30,776.9,783.5,772.05,774.3,1741799,ADANIPORTS
11/03/2023 5:30,780.0,798.8,777.3,795.4,4310765,ADANIPORTS
11/06/2023 5:30,801.5,806.25,799.3,802.5,2270316,ADANIPORTS
11/07/2023 5:30,803.0,808.4,796.0,797.55,2394891,ADANIPORTS
11/08/2023 5:30,802.0,823.8,800.05,818.7,5123208,ADANIPORTS
11/09/2023 5:30,825.0,827.7,798.1,806.2,4982049,ADANIPORTS
11/10/2023 5:30,808.0,818.8,806.2,808.6,3903183,ADANIPORTS
11/12/2023 5:30,816.7,816.7,811.0,812.25,265239,ADANIPORTS
11/13/2023 5:30,810.0,828.0,807.5,809.85,1050882,ADANIPORTS
11/15/2023 5:30,818.0,818.0,809.05,810.75,1694698,ADANIPORTS
11/16/2023 5:30,814.4,818.4,808.1,813.6,1689762,ADANIPORTS
11/17/2023 5:30,811.7,821.95,809.05,810.05,3218979,ADANIPORTS
11/20/2023 5:30,810.05,816.0,801.1,803.6,3227659,ADANIPORTS
11/21/2023 5:30,805.0,814.9,799.3,801.35,3643664,ADANIPORTS
11/22/2023 5:30,804.0,804.95,788.55,791.9,3212329,ADANIPORTS
11/23/2023 5:30,795.0,804.7,791.45,793.1,3776615,ADANIPORTS
11/24/2023 5:30,795.9,802.95,785.0,795.55,4421350,ADANIPORTS
11/28/2023 5:30,806.0,854.4,806.0,837.7,15929818,ADANIPORTS
11/29/2023 5:30,850.0,850.0,833.3,835.55,8057644,ADANIPORTS
11/30/2023 5:30,839.0,839.0,823.0,825.5,5998210,ADANIPORTS
12/01/2023 5:30,839.2,839.2,825.5,827.8,2932775,ADANIPORTS
12/04/2023 5:30,865.0,883.35,858.5,878.65,11064795,ADANIPORTS
12/05/2023 5:30,884.0,1024.3,880.0,1013.1,46564412,ADANIPORTS
12/06/2023 5:30,1045.0,1082.5,1008.1,1017.95,41008947,ADANIPORTS
12/07/2023 5:30,1029.0,1058.75,1021.65,1039.65,14840081,ADANIPORTS
12/08/2023 5:30,1048.0,1055.0,992.3,1022.95,12202462,ADANIPORTS
12/11/2023 5:30,1026.8,1048.0,1015.65,1031.9,7889666,ADANIPORTS
12/12/2023 5:30,1037.05,1048.45,1023.25,1041.95,4902289,ADANIPORTS
12/13/2023 5:30,1045.0,1075.0,1028.8,1063.5,8151639,ADANIPORTS
12/14/2023 5:30,1080.0,1089.9,1063.0,1074.7,8004131,ADANIPORTS
12/15/2023 5:30,1079.0,1086.5,1067.05,1078.55,11672787,ADANIPORTS
12/18/2023 5:30,1079.0,1102.4,1072.75,1094.3,5448342,ADANIPORTS
12/19/2023 5:30,1095.0,1099.0,1068.6,1074.0,5993252,ADANIPORTS
12/20/2023 5:30,1078.0,1083.85,1005.0,1012.15,8467564,ADANIPORTS
12/21/2023 5:30,996.15,1028.0,989.25,1018.95,5352057,ADANIPORTS
12/22/2023 5:30,1034.0,1050.95,1019.0,1027.5,5252106,ADANIPORTS
12/26/2023 5:30,1034.1,1041.0,1026.1,1028.75,2176775,ADANIPORTS
12/27/2023 5:30,1037.0,1037.05,1018.0,1024.4,2803997,ADANIPORTS
12/28/2023 5:30,1029.55,1031.2,1014.65,1016.95,4865603,ADANIPORTS
12/29/2023 5:30,1021.8,1034.9,1017.6,1024.35,2429250,ADANIPORTS
01/01/2024 5:30,1026.55,1057.95,1023.0,1047.85,3989711,ADANIPORTS
01/02/2024 5:30,1047.85,1082.9,1031.1,1078.4,6344621,ADANIPORTS
01/03/2024 5:30,1105.0,1144.0,1062.75,1094.25,33060778,ADANIPORTS
01/04/2024 5:30,1117.0,1131.0,1103.55,1123.2,9771995,ADANIPORTS
01/05/2024 5:30,1129.1,1160.0,1125.4,1154.25,10622789,ADANIPORTS
01/08/2024 5:30,1160.0,1182.0,1152.0,1168.85,8760094,ADANIPORTS
01/09/2024 5:30,1182.0,1229.9,1178.5,1197.1,14701104,ADANIPORTS
01/10/2024 5:30,1220.0,1220.0,1197.0,1214.35,7036728,ADANIPORTS
01/11/2024 5:30,1221.0,1223.6,1200.0,1202.95,3721202,ADANIPORTS
01/12/2024 5:30,1210.4,1218.75,1201.05,1207.1,3912779,ADANIPORTS
01/15/2024 5:30,1214.0,1215.35,1189.1,1203.1,2825654,ADANIPORTS
01/16/2024 5:30,1203.6,1212.0,1186.8,1193.35,3173587,ADANIPORTS
01/17/2024 5:30,1180.0,1204.7,1159.45,1166.85,5268593,ADANIPORTS
01/18/2024 5:30,1171.05,1184.3,1143.45,1154.05,5918594,ADANIPORTS
01/19/2024 5:30,1162.25,1166.8,1150.0,1152.45,2732559,ADANIPORTS
01/20/2024 5:30,1158.9,1198.75,1150.0,1193.0,2521107,ADANIPORTS
01/23/2024 5:30,1199.15,1207.2,1130.25,1137.1,7201014,ADANIPORTS
01/24/2024 5:30,1138.0,1146.75,1118.35,1120.6,18373913,ADANIPORTS
01/25/2024 5:30,1122.15,1155.75,1111.6,1146.3,4305042,ADANIPORTS
01/29/2024 5:30,1155.0,1204.9,1151.0,1196.65,6768033,ADANIPORTS
01/30/2024 5:30,1200.0,1217.2,1181.0,1187.35,4683729,ADANIPORTS
01/31/2024 5:30,1195.8,1214.25,1191.65,1207.65,5510242,ADANIPORTS
02/01/2024 5:30,1213.6,1239.5,1200.3,1218.85,7433628,ADANIPORTS
02/02/2024 5:30,1233.05,1287.5,1231.7,1261.45,10450227,ADANIPORTS
02/05/2024 5:30,1269.5,1291.25,1248.85,1258.55,5611298,ADANIPORTS
02/06/2024 5:30,1266.0,1284.6,1248.85,1273.1,4408002,ADANIPORTS
02/07/2024 5:30,1280.0,1286.35,1252.15,1255.65,3359763,ADANIPORTS
02/08/2024 5:30,1264.05,1264.5,1236.75,1245.2,3354609,ADANIPORTS
02/09/2024 5:30,1252.6,1275.5,1232.1,1271.5,3538164,ADANIPORTS
02/12/2024 5:30,1278.0,1279.75,1243.9,1249.35,2204823,ADANIPORTS
02/13/2024 5:30,1249.95,1271.0,1226.65,1264.8,2245009,ADANIPORTS
02/14/2024 5:30,1261.95,1281.55,1248.65,1267.85,3382943,ADANIPORTS
02/15/2024 5:30,1275.0,1277.55,1262.1,1267.05,3382824,ADANIPORTS
02/16/2024 5:30,1269.8,1311.0,1265.55,1306.85,5476230,ADANIPORTS
02/19/2024 5:30,1313.4,1327.0,1302.15,1307.0,2700240,ADANIPORTS
02/20/2024 5:30,1311.0,1312.9,1293.7,1300.5,1856718,ADANIPORTS
02/21/2024 5:30,1304.8,1315.0,1281.45,1291.0,2770510,ADANIPORTS
02/22/2024 5:30,1296.0,1317.0,1281.0,1310.95,2556009,ADANIPORTS
02/23/2024 5:30,1312.05,1332.0,1298.0,1320.7,2924829,ADANIPORTS
02/26/2024 5:30,1320.0,1343.0,1316.75,1338.15,2802425,ADANIPORTS
02/27/2024 5:30,1336.85,1339.2,1314.25,1329.45,2197456,ADANIPORTS
02/28/2024 5:30,1334.5,1334.9,1295.15,1299.5,2121625,ADANIPORTS
02/29/2024 5:30,1300.0,1329.9,1293.05,1320.5,2672239,ADANIPORTS
03/01/2024 5:30,1335.0,1349.0,1312.4,1322.1,3301090,ADANIPORTS
03/02/2024 5:30,1326.9,1346.9,1325.0,1338.3,386697,ADANIPORTS
03/04/2024 5:30,1345.25,1356.55,1336.4,1342.6,2170214,ADANIPORTS
03/05/2024 5:30,1344.05,1354.95,1334.0,1338.3,1815438,ADANIPORTS
03/06/2024 5:30,1342.7,1344.6,1304.0,1324.8,2758443,ADANIPORTS
03/07/2024 5:30,1329.8,1335.35,1315.0,1325.45,1640786,ADANIPORTS
03/11/2024 5:30,1331.0,1342.35,1322.05,1326.95,2217673,ADANIPORTS
03/12/2024 5:30,1335.0,1346.95,1293.45,1301.3,3139768,ADANIPORTS
03/13/2024 5:30,1307.0,1308.0,1188.1,1209.55,8670336,ADANIPORTS
03/14/2024 5:30,1210.0,1276.0,1195.7,1267.85,7195603,ADANIPORTS
03/15/2024 5:30,1273.8,1288.85,1256.65,1283.0,4024586,ADANIPORTS
03/18/2024 5:30,1250.0,1270.05,1227.25,1266.6,4858444,ADANIPORTS
03/19/2024 5:30,1271.05,1272.85,1237.25,1241.2,2311324,ADANIPORTS
03/20/2024 5:30,1248.0,1252.95,1230.2,1245.4,2772098,ADANIPORTS
03/21/2024 5:30,1260.0,1268.7,1251.3,1262.45,3155563,ADANIPORTS
03/22/2024 5:30,1262.45,1289.1,1255.05,1281.6,3076926,ADANIPORTS
03/26/2024 5:30,1281.6,1314.0,1281.0,1304.2,3610644,ADANIPORTS
03/27/2024 5:30,1315.0,1343.0,1312.1,1322.8,4938400,ADANIPORTS
03/28/2024 5:30,1334.0,1358.7,1314.0,1341.85,4188741,ADANIPORTS
04/01/2024 5:30,1356.8,1381.75,1350.25,1375.9,3251462,ADANIPORTS
04/02/2024 5:30,1397.8,1424.95,1388.2,1404.15,5769001,ADANIPORTS
04/03/2024 5:30,1399.85,1402.0,1389.2,1397.2,2727582,ADANIPORTS
04/04/2024 5:30,1408.6,1408.6,1362.25,1366.85,4197697,ADANIPORTS
04/05/2024 5:30,1367.0,1381.9,1357.35,1375.55,1853120,ADANIPORTS
04/08/2024 5:30,1381.95,1381.95,1337.0,1348.65,14038860,ADANIPORTS
04/09/2024 5:30,1356.15,1364.9,1346.1,1356.5,1935801,ADANIPORTS
04/10/2024 5:30,1359.0,1359.9,1348.2,1352.3,3984001,ADANIPORTS
04/12/2024 5:30,1350.0,1358.4,1341.0,1344.2,2183230,ADANIPORTS
04/15/2024 5:30,1320.0,1335.0,1308.6,1315.55,3372368,ADANIPORTS
04/16/2024 5:30,1302.0,1322.0,1294.4,1304.35,2696593,ADANIPORTS
04/18/2024 5:30,1315.95,1336.5,1291.0,1295.55,6219274,ADANIPORTS
04/19/2024 5:30,1280.0,1316.0,1270.0,1310.0,3899281,ADANIPORTS
04/22/2024 5:30,1321.1,1331.0,1315.0,1321.1,8903130,ADANIPORTS
04/23/2024 5:30,1321.1,1338.55,1318.9,1322.1,3847872,ADANIPORTS
04/24/2024 5:30,1331.0,1332.9,1318.05,1320.5,2553035,ADANIPORTS
04/25/2024 5:30,1320.5,1336.95,1316.8,1330.55,6097087,ADANIPORTS
04/26/2024 5:30,1340.0,1341.6,1321.1,1324.6,2565490,ADANIPORTS
04/29/2024 5:30,1334.3,1335.75,1307.0,1317.25,2191564,ADANIPORTS
04/30/2024 5:30,1323.55,1334.65,1316.25,1324.9,2321071,ADANIPORTS
05/02/2024 5:30,1333.95,1348.7,1306.55,1338.8,7991511,ADANIPORTS
05/03/2024 5:30,1353.0,1354.0,1310.45,1320.3,3528822,ADANIPORTS
05/06/2024 5:30,1322.5,1322.5,1257.0,1289.95,4000668,ADANIPORTS
05/07/2024 5:30,1291.1,1301.15,1265.0,1287.65,3474340,ADANIPORTS
05/08/2024 5:30,1293.35,1293.7,1269.05,1277.25,1627418,ADANIPORTS
05/09/2024 5:30,1279.0,1285.8,1240.0,1244.55,2591646,ADANIPORTS
05/10/2024 5:30,1250.0,1278.7,1245.75,1266.75,2022402,ADANIPORTS
05/13/2024 5:30,1267.0,1313.0,1261.65,1306.4,2495810,ADANIPORTS
05/14/2024 5:30,1306.4,1339.9,1285.25,1331.25,2989543,ADANIPORTS
05/15/2024 5:30,1337.85,1353.95,1333.0,1337.85,2189768,ADANIPORTS
05/16/2024 5:30,1352.2,1366.75,1310.5,1345.05,4822618,ADANIPORTS
05/17/2024 5:30,1330.0,1343.3,1321.15,1335.7,1945123,ADANIPORTS
05/18/2024 5:30,1342.0,1345.2,1335.1,1340.2,192526,ADANIPORTS
05/21/2024 5:30,1344.0,1398.8,1333.0,1385.5,4200578,ADANIPORTS
05/22/2024 5:30,1394.35,1394.35,1364.2,1378.2,1878562,ADANIPORTS
05/23/2024 5:30,1384.0,1448.8,1369.9,1443.35,7821034,ADANIPORTS
05/24/2024 5:30,1435.0,1444.95,1382.15,1416.1,19100263,ADANIPORTS
05/27/2024 5:30,1445.0,1457.05,1423.6,1431.65,5517078,ADANIPORTS
05/28/2024 5:30,1438.0,1438.0,1398.0,1400.5,4070886,ADANIPORTS
05/29/2024 5:30,1406.0,1427.85,1382.9,1410.0,3214475,ADANIPORTS
05/30/2024 5:30,1410.0,1413.65,1373.65,1383.5,3477661,ADANIPORTS
05/31/2024 5:30,1391.0,1451.0,1391.0,1437.4,8238969,ADANIPORTS
06/03/2024 5:30,1549.0,1621.4,1535.0,1583.95,23398347,ADANIPORTS
06/04/2024 5:30,1558.0,1558.0,1188.0,1248.95,52109624,ADANIPORTS
06/05/2024 5:30,1281.0,1368.0,1160.6,1354.6,20879925,ADANIPORTS
06/06/2024 5:30,1384.0,1404.0,1344.8,1352.95,12153840,ADANIPORTS
06/07/2024 5:30,1357.7,1385.0,1355.05,1378.85,5884018,ADANIPORTS
06/10/2024 5:30,1404.0,1415.35,1381.25,1384.05,4843234,ADANIPORTS
06/11/2024 5:30,1391.0,1418.8,1384.05,1403.45,4122878,ADANIPORTS
06/12/2024 5:30,1411.75,1414.45,1390.6,1393.95,3258265,ADANIPORTS
06/13/2024 5:30,1403.6,1411.0,1388.05,1404.45,2839159,ADANIPORTS
06/14/2024 5:30,1409.0,1442.0,1395.45,1430.7,5651491,ADANIPORTS
06/18/2024 5:30,1447.0,1458.6,1434.05,1445.0,5651898,ADANIPORTS
06/19/2024 5:30,1446.0,1452.0,1420.45,1448.4,4484742,ADANIPORTS
06/20/2024 5:30,1459.3,1476.8,1444.1,1469.4,4905603,ADANIPORTS
06/21/2024 5:30,1479.95,1498.9,1470.0,1485.5,25891893,ADANIPORTS
06/24/2024 5:30,1474.85,1479.65,1450.2,1460.25,3009931,ADANIPORTS
06/25/2024 5:30,1466.15,1468.9,1437.0,1456.15,3343186,ADANIPORTS
06/26/2024 5:30,1458.9,1474.5,1451.05,1467.8,3217949,ADANIPORTS
06/27/2024 5:30,1475.6,1494.0,1459.0,1485.5,7803408,ADANIPORTS
06/28/2024 5:30,1480.0,1494.0,1445.0,1478.1,11534763,ADANIPORTS
07/01/2024 5:30,1483.0,1491.4,1471.6,1474.5,3372730,ADANIPORTS
07/02/2024 5:30,1479.5,1489.6,1455.05,1474.85,5368562,ADANIPORTS
07/03/2024 5:30,1479.8,1514.0,1470.8,1510.65,4435563,ADANIPORTS
07/04/2024 5:30,1514.65,1520.0,1494.35,1503.65,2980840,ADANIPORTS
07/05/2024 5:30,1508.0,1509.5,1493.9,1500.45,2111633,ADANIPORTS
07/08/2024 5:30,1496.0,1501.05,1469.0,1475.3,2177821,ADANIPORTS
